celltype,n_clusters,n_dispersed,dispersed_pct,ARI,NMI
pDC,6,3,50.0,0.08943434027766149,0.16904732408997097
Mast,8,4,50.0,0.3055711723366682,0.3702247627986848
Dendritic cell,10,3,30.0,0.3835652306209607,0.4769201383811814
NK cell,10,4,40.0,0.23667273397773533,0.3078071527127468
B cell,12,3,25.0,0.2649896341378518,0.38416969924112493
Plasma cell,12,4,33.33333333333333,0.277679185937761,0.48309417907703034
Macrophage,16,5,31.25,0.21413429382597013,0.3709392869638776
T cell,11,6,54.54545454545454,0.12198280568552558,0.23171356027218074
