RS,celltype
1.4331158,Dendritic cell
1.6545242,B cell
1.0707569,T cell
1.1825218,T cell
0.92546546,T cell
1.5429766,T cell
0.8866233,Plasma cell
1.1460046,B cell
1.1345351,T cell
1.6143857,T cell
1.0028315,T cell
2.7119448,B cell
1.0537801,Plasma cell
1.0807084,B cell
1.4927518,T cell
1.661651,B cell
1.3926958,Dendritic cell
0.83432853,B cell
1.6364416,Macrophage
1.6284469,B cell
0.80758965,Plasma cell
1.5844182,T cell
1.1170688,T cell
1.4784557,B cell
1.5282815,Plasma cell
1.6275972,pDC
1.1344041,T cell
1.3432585,Plasma cell
2.2162952,T cell
1.374871,B cell
1.2109989,Plasma cell
0.676064,B cell
1.1228286,B cell
1.1536567,B cell
1.1254277,T cell
1.1060297,T cell
1.2999163,T cell
1.6754354,B cell
1.5091288,T cell
1.1297516,T cell
1.310964,Plasma cell
1.5133078,B cell
1.5373904,Dendritic cell
1.4347743,B cell
0.968758,T cell
1.0665009,T cell
1.4715737,T cell
0.91245055,T cell
0.9733025,T cell
1.214792,T cell
1.1714413,pDC
1.1475596,Dendritic cell
1.11722,pDC
1.7810822,Plasma cell
1.2552598,Plasma cell
1.5185857,B cell
1.0831953,T cell
1.8568296,B cell
0.7794889,Plasma cell
1.3781462,T cell
1.3344702,Plasma cell
0.97328854,T cell
1.556803,Macrophage
1.2749493,Macrophage
1.8268197,Plasma cell
0.83763576,T cell
1.3425118,Plasma cell
1.1466811,Macrophage
1.3114598,T cell
1.3396295,B cell
1.3552456,B cell
2.1910777,B cell
1.3318356,NK cell
1.2211045,pDC
1.270826,T cell
1.8597659,NK cell
0.92667013,B cell
0.9237475,B cell
0.90139407,B cell
1.3365362,B cell
0.7344219,B cell
1.4040575,B cell
1.5633206,B cell
1.1156049,T cell
0.71100944,B cell
0.91632617,Plasma cell
1.5295182,B cell
1.6502827,Macrophage
1.8967158,B cell
0.7255949,Plasma cell
1.4275019,B cell
1.0765879,T cell
1.1067567,T cell
1.6780052,T cell
0.90273315,B cell
1.0604227,Plasma cell
1.2749786,T cell
0.7504282,B cell
1.0962517,T cell
1.8840158,B cell
1.3831666,T cell
1.0952314,Plasma cell
1.4045222,B cell
0.9160925,T cell
1.6772275,B cell
1.064737,B cell
1.3869998,T cell
0.9498093,T cell
1.0820253,T cell
0.94479495,T cell
0.7746337,B cell
0.94522333,T cell
1.7486708,Macrophage
0.99689674,Macrophage
1.0986755,Macrophage
1.3208097,NK cell
1.1776742,T cell
1.7830154,T cell
1.1326622,pDC
0.9729978,Plasma cell
0.68382055,B cell
2.704269,B cell
1.1546711,Macrophage
1.2865008,T cell
1.0342289,T cell
1.2976036,B cell
1.2043496,T cell
1.4603732,B cell
1.5226853,B cell
0.9630462,pDC
1.6784897,B cell
1.3009194,Plasma cell
1.9479991,pDC
0.8058033,B cell
1.2860688,B cell
1.448729,T cell
1.2742894,B cell
1.3036423,Dendritic cell
1.1600554,T cell
1.3839624,T cell
1.0771364,T cell
0.65517235,B cell
1.0760612,T cell
1.0204401,B cell
1.0502532,T cell
0.9042526,Plasma cell
1.9423109,B cell
1.2527148,Plasma cell
1.8163273,Macrophage
1.3247461,T cell
1.2312367,T cell
0.71394604,B cell
1.2906226,Dendritic cell
1.8010498,Macrophage
0.9562953,Plasma cell
1.4020001,T cell
1.7169495,T cell
1.4184963,B cell
1.4739542,T cell
1.7966925,T cell
0.7763913,B cell
1.3879205,B cell
1.2107165,Plasma cell
1.562757,B cell
1.7127422,B cell
1.6268222,NK cell
1.0389187,T cell
1.3975216,B cell
1.6232755,B cell
1.0563177,pDC
1.2084711,Macrophage
3.6603107,Plasma cell
2.5009158,Plasma cell
4.3616567,T cell
1.4959432,B cell
1.3942224,Dendritic cell
0.9386759,T cell
1.0382838,T cell
1.2461569,B cell
1.1291568,T cell
