pre_coherence,post_coherence,coherence_drop,coherence_ratio,celltype,is_rare,batch
0.4665488004684448,0.48676320910453796,-0.02021440863609314,1.0433275331879464,gamma,0,celseq
0.5613648891448975,0.6135373711585999,-0.05217248201370239,1.0929386269475714,gamma,0,celseq
0.4786050617694855,0.4840676188468933,-0.005462557077407837,1.0114134962493122,gamma,0,celseq
0.5012111067771912,0.5234078764915466,-0.02219676971435547,1.0442862686285659,gamma,0,celseq
0.4327259361743927,0.4462961256504059,-0.013570189476013184,1.0313597784223043,gamma,0,celseq
0.47579091787338257,0.5069195032119751,-0.03112858533859253,1.065424925464585,gamma,0,celseq
0.5682627558708191,0.6439281702041626,-0.0756654143333435,1.1331521616569646,gamma,0,celseq
0.511353611946106,0.5400217175483704,-0.028668105602264404,1.0560631722012475,gamma,0,celseq
0.50392746925354,0.49902379512786865,0.004903674125671387,0.9902690874682122,gamma,0,celseq
0.5865902304649353,0.6544864177703857,-0.06789618730545044,1.1157472180394745,gamma,0,celseq
0.5915168523788452,0.6423411965370178,-0.05082434415817261,1.0859220560729206,gamma,0,celseq
0.49675819277763367,0.5351790189743042,-0.03842082619667053,1.0773431153331154,gamma,0,celseq
0.5135590434074402,0.5243663787841797,-0.010807335376739502,1.0210439977943595,gamma,0,celseq
0.5724995136260986,0.6557909250259399,-0.08329141139984131,1.1454873050848375,gamma,0,celseq
0.5252662897109985,0.57539302110672,-0.050126731395721436,1.095431083961815,gamma,0,celseq
0.5533705949783325,0.6114231944084167,-0.05805259943008423,1.104907271829934,gamma,0,celseq
0.5976194143295288,0.6765115857124329,-0.07889217138290405,1.1320107237001553,gamma,0,celseq
0.5027053356170654,0.5175274610519409,-0.014822125434875488,1.029484718750163,gamma,0,celseq
0.7668352127075195,0.7411960959434509,0.025639116764068604,0.9665650242200763,gamma,0,celseq2
0.5858451128005981,0.504676103591919,0.0811690092086792,0.861449711817761,gamma,0,celseq2
0.7172558903694153,0.712181806564331,0.0050740838050842285,0.9929256993588845,gamma,0,celseq2
0.7690742611885071,0.7474496960639954,0.02162456512451172,0.9718823445071563,gamma,0,celseq2
0.6849507689476013,0.66978520154953,0.015165567398071289,0.977858894265682,gamma,0,celseq2
0.7332670092582703,0.7366257905960083,-0.003358781337738037,1.004580570645249,gamma,0,celseq2
0.6204871535301208,0.5980779528617859,0.02240920066833496,0.9638845050363365,gamma,0,celseq2
0.6822224855422974,0.6650568842887878,0.01716560125350952,0.9748387049426191,gamma,0,celseq2
0.644241988658905,0.6068353652954102,0.03740662336349487,0.9419369987954948,gamma,0,celseq2
0.6901353597640991,0.6892501711845398,0.0008851885795593262,0.998717369618821,gamma,0,celseq2
