pre_coherence,post_coherence,coherence_drop,coherence_ratio,celltype,is_rare,batch
0.4665488004684448,0.4411535859107971,0.025395214557647705,0.9455679351610179,gamma,0,celseq
0.5613648891448975,0.5768789649009705,-0.015514075756072998,1.0276363485783817,gamma,0,celseq
0.4786050617694855,0.4598126709461212,0.018792390823364258,0.9607350771555037,gamma,0,celseq
0.5012111067771912,0.47509896755218506,0.026112139225006104,0.9479019142394743,gamma,0,celseq
0.4327259361743927,0.4266905188560486,0.006035417318344116,0.9860525639583763,gamma,0,celseq
0.47579091787338257,0.49106743931770325,-0.015276521444320679,1.0321076356661059,gamma,0,celseq
0.5682627558708191,0.6335728168487549,-0.06531006097793579,1.1149293355990806,gamma,0,celseq
0.511353611946106,0.5211206674575806,-0.00976705551147461,1.0191003940977423,gamma,0,celseq
0.50392746925354,0.5022791028022766,0.0016483664512634277,0.996728960908392,gamma,0,celseq
0.5865902304649353,0.6610071063041687,-0.0744168758392334,1.1268634763662022,gamma,0,celseq
0.5915168523788452,0.6147977113723755,-0.023280858993530273,1.039357896397886,gamma,0,celseq
0.49675819277763367,0.5159033536911011,-0.019145160913467407,1.038540201634958,gamma,0,celseq
0.5135590434074402,0.48990076780319214,0.023658275604248047,0.9539327056782478,gamma,0,celseq
0.5724995136260986,0.6355011463165283,-0.06300163269042969,1.1100466134746383,gamma,0,celseq
0.5252662897109985,0.5492046475410461,-0.023938357830047607,1.0455737562051022,gamma,0,celseq
0.5533705949783325,0.606686532497406,-0.053315937519073486,1.0963476158706285,gamma,0,celseq
0.5976194143295288,0.6526855230331421,-0.05506610870361328,1.0921424361111027,gamma,0,celseq
0.5027053356170654,0.5290575623512268,-0.026352226734161377,1.052420821636624,gamma,0,celseq
0.7668352127075195,0.6597529053688049,0.1070823073387146,0.8603581244520169,gamma,0,celseq2
0.5858451128005981,0.5123172402381897,0.07352787256240845,0.8744926415603046,gamma,0,celseq2
0.7172558903694153,0.6267310976982117,0.09052479267120361,0.8737901021285727,gamma,0,celseq2
0.7690742611885071,0.6600173711776733,0.10905689001083374,0.858197191722032,gamma,0,celseq2
0.6849507689476013,0.61537766456604,0.06957310438156128,0.8984261241308518,gamma,0,celseq2
0.7332670092582703,0.661125123500824,0.07214188575744629,0.9016158031841351,gamma,0,celseq2
0.6204871535301208,0.5515784621238708,0.06890869140625,0.888944209377729,gamma,0,celseq2
0.6822224855422974,0.5942782163619995,0.08794426918029785,0.8710915118689013,gamma,0,celseq2
0.644241988658905,0.5729709267616272,0.07127106189727783,0.8893722185887942,gamma,0,celseq2
0.6901353597640991,0.6231594085693359,0.06697595119476318,0.9029524422315403,gamma,0,celseq2
0.7149986624717712,0.6383537650108337,0.0766448974609375,0.8928041386875133,gamma,0,celseq2
0.6636381149291992,0.5831248164176941,0.08051329851150513,0.8786789114424286,gamma,0,celseq2
0.7521811127662659,0.6772357821464539,0.07494533061981201,0.9003626528932791,gamma,0,celseq2
0.699567973613739,0.6401455998420715,0.05942237377166748,0.9150584703517645,gamma,0,celseq2
0.659466564655304,0.5794596672058105,0.08000689744949341,0.8786793724844684,gamma,0,celseq2
0.5811675786972046,0.5093565583229065,0.0718110203742981,0.8764366371997628,gamma,0,celseq2
0.63393634557724,0.5575128197669983,0.0764235258102417,0.8794460574103018,gamma,0,celseq2
0.6777995824813843,0.622650146484375,0.05514943599700928,0.9186345972726769,gamma,0,celseq2
0.6016720533370972,0.5459001660346985,0.05577188730239868,0.907305172322585,gamma,0,celseq2
0.6859618425369263,0.6031733155250549,0.08278852701187134,0.8793103028796901,gamma,0,celseq2
0.6833326816558838,0.6217883825302124,0.06154429912567139,0.9099350861186174,gamma,0,celseq2
0.7035773992538452,0.6241478323936462,0.07942956686019897,0.8871061422034943,gamma,0,celseq2
