cluster,size,survival,mean_NP,dispersed
Dendritic cell_1,160,0.3125,0.24562502,1
Dendritic cell_12,45,0.9777777777777777,0.33481482,0
Dendritic cell_9,66,0.9090909090909091,0.5237374,0
Neutrophil_CD14_high_0,245,0.7836734693877551,0.28789115,0
Dendritic cell_7,75,0.9333333333333333,0.5004444,0
B cell_8,59,1.0,0.4039548,0
Neutrophils_IL1R2_0,89,0.6853932584269663,0.16329588,0
Neutrophil_CD14_high_5,171,0.672514619883041,0.5292398,0
Neutrophil_CD14_high_8,80,0.85,0.27,0
Macrophage_8,428,0.5233644859813084,0.3144081,0
Endothelium_3,103,0.47572815533980584,0.39579287,1
Endothelium_12,18,0.8333333333333334,0.5037037,0
T/NK cell_2,200,0.35,0.11783334,1
Macrophage_2,639,0.405320813771518,0.42696923,1
Macrophage_11,280,0.7892857142857143,0.27202383,0
Macrophage_17,96,0.6875,0.13472223,0
Fibroblast_4,57,0.42105263157894735,0.23508771,1
Fibroblast_1,103,0.3300970873786408,0.25825238,1
Lymphatic_2,67,0.3880597014925373,0.5393035,1
Lymphatic_1,79,0.35443037974683544,0.4725738,1
Mast cell_5,91,0.31868131868131866,0.09267402,1
Mast cell_3,102,0.3333333333333333,0.15424837,1
Ciliated_11,28,1.0,0.10595238,0
Type 2_0,916,0.324235807860262,0.58282393,1
Type 2_14,50,0.68,0.148,0
Type 2_10,108,0.5277777777777778,0.6339505,0
Type 2_12,75,0.6933333333333334,0.45422226,0
Type 2_11,76,0.27631578947368424,0.10394737,1
Type 2_5,351,0.2336182336182336,0.11424501,1
Type 2_1,439,0.6788154897494305,0.5458618,0
Type 2_4,396,0.4722222222222222,0.505303,1
Type 2_9,124,0.29838709677419356,0.077957,1
Dendritic cell_2,132,0.4621212121212121,0.25,1
Dendritic cell_14,31,1.0,0.62580645,0
Dendritic cell_0,170,0.47058823529411764,0.29294118,1
Dendritic cell_8,67,0.8059701492537313,0.2905473,0
Dendritic cell_10,62,0.46774193548387094,0.20430109,1
Neutrophils_IL1R2_3,55,1.0,0.2557576,0
Dendritic cell_5,103,0.5339805825242718,0.5411003,0
Dendritic cell_13,36,0.6111111111111112,0.31296295,0
Dendritic cell_4,120,0.9666666666666667,0.43027776,0
Neutrophils_IL1R2_2,76,0.7368421052631579,0.15964913,0
Neutrophil_CD14_high_7,135,0.562962962962963,0.41679013,0
Macrophage_6,500,0.602,0.5023333,0
Macrophage_10,357,0.5882352941176471,0.24117649,0
Macrophage_15,164,0.8109756097560976,0.60365856,0
Neutrophils_IL1R2_8,22,0.7272727272727273,0.28939393,0
Neutrophil_CD14_high_6,152,0.45394736842105265,0.16776316,1
Macrophage_7,474,0.3691983122362869,0.21308017,1
Neutrophils_IL1R2_6,29,1.0,0.2,0
Neutrophils_IL1R2_4,47,0.9574468085106383,0.38368797,0
Neutrophils_IL1R2_7,27,0.9259259259259259,0.2111111,0
Neutrophils_IL1R2_1,89,0.6629213483146067,0.2636704,0
Neutrophils_IL1R2_5,38,1.0,0.3368421,0
Macrophage_20,19,0.8421052631578947,0.40701756,0
Neutrophil_CD14_high_4,187,0.49732620320855614,0.21782534,1
Neutrophil_CD14_high_1,232,0.6939655172413793,0.11063219,0
Neutrophil_CD14_high_3,199,0.49246231155778897,0.20083752,1
Neutrophil_CD14_high_2,225,0.6088888888888889,0.3128889,0
Macrophage_12,273,0.7582417582417582,0.64175826,0
Endothelium_8,48,0.8333333333333334,0.48611113,0
Endothelium_9,47,0.8297872340425532,0.43191493,0
T/NK cell_6,133,0.45112781954887216,0.13082708,1
T/NK cell_10,74,0.5540540540540541,0.2211712,0
T/NK cell_11,66,0.3939393939393939,0.12474749,1
T/NK cell_12,51,0.9607843137254902,0.18431371,0
Mast cell_8,36,0.8888888888888888,0.35092595,0
Macrophage_5,510,0.907843137254902,0.8120261,0
Fibroblast_2,88,0.2159090909090909,0.5545454,1
Fibroblast_6,53,0.33962264150943394,0.45471698,1
Fibroblast_10,20,0.4,0.23500001,1
