NPS,CBR,NeighborDispersion,Disruption,celltype,is_rare,batch
1.0,0.9666666666666667,0.0847576922660618,0.0,gamma,0,celseq
1.0,0.9,0.0869054797891644,0.0,gamma,0,celseq
0.0,1.0,0.1112391919888876,0.1112391919888876,gamma,0,celseq
1.0,0.8666666666666667,0.12896394924035942,0.0,gamma,0,celseq
0.75,0.8666666666666667,0.10648246665877352,0.02662061666469338,gamma,0,celseq
1.0,0.8666666666666667,0.12375634254343977,0.0,gamma,0,celseq
1.0,0.9666666666666667,0.11492303841585416,0.0,gamma,0,celseq
1.0,0.9666666666666667,0.11844782502674091,0.0,gamma,0,celseq
0.0,1.0,0.1283852711881155,0.1283852711881155,gamma,0,celseq
1.0,0.9333333333333333,0.08937112585429274,0.0,gamma,0,celseq
1.0,0.9,0.07382369070511775,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.10338016248478324,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.13238088243689375,0.0,gamma,0,celseq
1.0,0.9666666666666667,0.13647836876869404,0.0,gamma,0,celseq
0.0,1.0,0.1340170749599231,0.1340170749599231,gamma,0,celseq
1.0,0.9333333333333333,0.12074421835406078,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.13089580075961282,0.0,gamma,0,celseq
1.0,0.9666666666666667,0.1210836804010911,0.0,gamma,0,celseq
0.6428571428571429,0.5333333333333333,0.2423640933113555,0.08655860475405552,gamma,0,celseq2
1.0,0.9,0.15631326252298403,0.0,gamma,0,celseq2
0.9285714285714286,0.5333333333333333,0.2542648240943603,0.018161773149597157,gamma,0,celseq2
0.8571428571428571,0.5333333333333333,0.17520656995475384,0.025029509993536272,gamma,0,celseq2
1.0,0.6,0.10490259869986401,0.0,gamma,0,celseq2
0.9333333333333333,0.5,0.13278441599474108,0.008852294399649404,gamma,0,celseq2
0.8,0.6666666666666666,0.14663779158289178,0.02932755831657835,gamma,0,celseq2
0.7692307692307693,0.5666666666666667,0.09430403125829309,0.021762468751913785,gamma,0,celseq2
0.7857142857142857,0.5333333333333333,0.10697350442768372,0.022922893805932227,gamma,0,celseq2
0.8,0.5,0.15929246494923124,0.03185849298984624,gamma,0,celseq2
0.9411764705882353,0.43333333333333335,0.10523552893779844,0.006190325231635204,gamma,0,celseq2
0.7857142857142857,0.5333333333333333,0.15118669262244547,0.03239714841909546,gamma,0,celseq2
1.0,0.6,0.14459831630997697,0.0,gamma,0,celseq2
0.6428571428571429,0.5333333333333333,0.1012087885593116,0.03614599591403985,gamma,0,celseq2
0.6875,0.4666666666666667,0.09441567537404699,0.029504898554389685,gamma,0,celseq2
0.9,0.6666666666666666,0.06568961503442473,0.006568961503442472,gamma,0,celseq2
0.8888888888888888,0.7,0.1718036427636187,0.019089293640402086,gamma,0,celseq2
0.7647058823529411,0.43333333333333335,0.13504636617140686,0.031775615569742795,gamma,0,celseq2
0.7777777777777778,0.7,0.12856356436459163,0.02856968096990925,gamma,0,celseq2
0.75,0.4666666666666667,0.11192788008902035,0.02798197002225509,gamma,0,celseq2
0.8888888888888888,0.7,0.1028206248240169,0.011424513869335216,gamma,0,celseq2
0.7142857142857143,0.5333333333333333,0.09938143492227033,0.028394695692077237,gamma,0,celseq2
0.75,0.4666666666666667,0.10718972342284537,0.026797430855711343,gamma,0,celseq2
0.9,0.6666666666666666,0.08345814653506879,0.008345814653506877,gamma,0,celseq2
0.8181818181818182,0.6333333333333333,0.12157920927266144,0.02210531077684753,gamma,0,celseq2
0.6153846153846154,0.5666666666666667,0.14618632020740407,0.056225507772078485,gamma,0,celseq2
0.5384615384615384,0.5666666666666667,0.09556745186833096,0.044108054708460444,gamma,0,celseq2
0.5625,0.4666666666666667,0.10265633376618655,0.044912146022706614,gamma,0,celseq2
0.6,0.6666666666666666,0.1158872342583674,0.046354893703346965,gamma,0,celseq2
0.7692307692307693,0.5666666666666667,0.11158541480243084,0.025750480339022497,gamma,0,celseq2
0.8571428571428571,0.5333333333333333,0.09880777988474053,0.014115397126391508,gamma,0,celseq2
0.9,0.3333333333333333,0.09169168830441611,0.00916916883044161,gamma,0,celseq2
0.9166666666666666,0.6,0.15419216900610114,0.0128493474171751,gamma,0,celseq2
0.8571428571428571,0.5333333333333333,0.10922011941609806,0.015602874202299728,gamma,0,celseq2
0.8571428571428571,0.5333333333333333,0.14488787435017866,0.020698267764311246,gamma,0,celseq2
0.9,0.6666666666666666,0.15099497788492627,0.015099497788492624,gamma,0,celseq2
0.8125,0.4666666666666667,0.11791758279198382,0.022109546773496965,gamma,0,celseq2
0.6363636363636364,0.6333333333333333,0.11367600269035022,0.041336728251036445,gamma,0,celseq2
0.7142857142857143,0.7666666666666667,0.11895786671073741,0.033987961917353544,gamma,0,celseq2
0.6470588235294118,0.43333333333333335,0.12330830354058782,0.04352057772020746,gamma,0,celseq2
0.625,0.4666666666666667,0.09942096093768332,0.037282860351631246,gamma,0,celseq2
0.8571428571428571,0.5333333333333333,0.14351438286608378,0.02050205469515483,gamma,0,celseq2
0.8823529411764706,0.43333333333333335,0.14178505716267992,0.01668059496031529,gamma,0,celseq2
0.9,0.6666666666666666,0.09834508911232981,0.009834508911232978,gamma,0,celseq2
0.6923076923076923,0.5666666666666667,0.15032905487568773,0.04625509380790392,gamma,0,celseq2
0.6153846153846154,0.5666666666666667,0.14723280194271873,0.05662800074719951,gamma,0,celseq2
0.6470588235294118,0.43333333333333335,0.09206807551724908,0.03249461488844085,gamma,0,celseq2
0.7272727272727273,0.6333333333333333,0.13959897777690145,0.03807244848460948,gamma,0,celseq2
0.8571428571428571,0.5333333333333333,0.0866249604558619,0.012374994350837418,gamma,0,celseq2
