NPS,CBR,NeighborDispersion,Disruption,celltype,is_rare,batch,method
1.0,0.8,0.08516661426370511,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.07114093185371319,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.07270689136403487,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.060501135334683785,0.0,gamma,0,celseq2,Harmony
1.0,0.8666666666666667,0.09248237862684051,0.0,gamma,0,celseq2,Harmony
1.0,0.6666666666666666,0.05909769733276356,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.061672632160557316,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.12943363627127183,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.11957279050347269,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.09393789130043874,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.06648743741560026,0.0,gamma,0,celseq2,Harmony
1.0,0.6666666666666666,0.10441731250775642,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.08812594121096673,0.0,gamma,0,celseq2,Harmony
1.0,0.6333333333333333,0.08606680378981678,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.0846381665416075,0.0,gamma,0,celseq2,Harmony
1.0,0.5,0.10576057246723015,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.0956003134133333,0.0,gamma,0,celseq2,Harmony
1.0,0.6333333333333333,0.07626066719877107,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.1144344105004878,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.10085025890002533,0.0,gamma,0,celseq2,Harmony
1.0,0.5,0.0792054903905828,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.09820447019990562,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.07584416785145673,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.07296843922274766,0.0,gamma,0,celseq2,Harmony
1.0,0.6333333333333333,0.07786136746448646,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.07228799569543606,0.0,gamma,0,celseq2,Harmony
1.0,0.5,0.08175466858498588,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.09208133399629485,0.0,gamma,0,celseq2,Harmony
1.0,0.8666666666666667,0.09088964420335538,0.0,gamma,0,celseq2,Harmony
1.0,0.5666666666666667,0.08118964129367058,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.0730056794784256,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.07938261253441975,0.0,gamma,0,celseq2,Harmony
1.0,0.6333333333333333,0.07060436061297987,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.08296123363826909,0.0,gamma,0,celseq2,Harmony
1.0,0.5333333333333333,0.11023882258279263,0.0,gamma,0,celseq2,Harmony
1.0,0.6333333333333333,0.09752869444676851,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.08714654789512384,0.0,gamma,0,celseq2,Harmony
1.0,0.5666666666666667,0.0988796578437825,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.12313087344113693,0.0,gamma,0,celseq2,Harmony
1.0,0.6666666666666666,0.09491450061514375,0.0,gamma,0,celseq2,Harmony
1.0,0.5666666666666667,0.06402666989776856,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.09041934769039828,0.0,gamma,0,celseq2,Harmony
1.0,0.6333333333333333,0.10567740352670553,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.06307657546529666,0.0,gamma,0,celseq2,Harmony
1.0,0.6333333333333333,0.0808950814440609,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.06963068919471621,0.0,gamma,0,celseq2,Harmony
1.0,0.8666666666666667,0.06487791108409353,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.06281606084413702,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.09805032719385533,0.0,gamma,0,celseq2,Harmony
1.0,0.6666666666666666,0.05893690254623808,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.10000060805549237,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.08508625383268109,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.1247449862479199,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.09082308616745798,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.061134382149937265,0.0,gamma,0,celseq2,Harmony
1.0,0.6333333333333333,0.0862793927357523,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.07852758534628368,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.07688711972191262,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.05517476965215775,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.09771771146620246,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.07276942015219294,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.10262142832207398,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.08077989000134476,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.08747639864384027,0.0,gamma,0,celseq2,Harmony
1.0,0.6333333333333333,0.06911911628361443,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.06541273960792555,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.08471024578257233,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.07790573441332224,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.10745101748147041,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.0879860137115662,0.0,gamma,0,celseq2,Harmony
1.0,0.9,0.0829548667666976,0.0,gamma,0,celseq2,Harmony
1.0,0.7333333333333333,0.07313783991027377,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.09990096634294664,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.06493968766782167,0.0,gamma,0,celseq2,Harmony
1.0,0.9,0.0679611729481302,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.08258754298605453,0.0,gamma,0,celseq2,Harmony
1.0,0.8,0.061557497266440435,0.0,gamma,0,celseq2,Harmony
1.0,0.7666666666666667,0.08405822562137924,0.0,gamma,0,celseq2,Harmony
1.0,0.7,0.09319707511729873,0.0,gamma,0,celseq2,Harmony
1.0,0.8333333333333334,0.09913644532038342,0.0,gamma,0,celseq2,Harmony
