NPS,CBR,NeighborDispersion,Disruption,celltype,is_rare,batch
1.0,0.9,0.6049667879898707,0.0,gamma,0,celseq
1.0,0.8,0.7055617403197448,0.0,gamma,0,celseq
1.0,0.8666666666666667,0.6546612583246983,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.6543747342258139,0.0,gamma,0,celseq
1.0,0.9230769230769231,0.5019830355794614,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.5053812308317148,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.4390639541644754,0.0,gamma,0,celseq
1.0,0.9,0.5496330276821714,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.4242739439761033,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.5322147299213569,0.0,gamma,0,celseq
1.0,0.8666666666666667,0.5697615712656666,0.0,gamma,0,celseq
1.0,0.9,0.6295175363231953,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.5451125146880917,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.46921334312250174,0.0,gamma,0,celseq
1.0,0.9333333333333333,0.4650707197989402,0.0,gamma,0,celseq
1.0,0.8,0.5019538416411089,0.0,gamma,0,celseq
1.0,0.9,0.4235169843807223,0.0,gamma,0,celseq
0.6666666666666666,0.9,0.5550426887582509,0.18501422958608366,gamma,0,celseq
1.0,0.9166666666666666,0.5119886417875994,0.0,gamma,0,celseq2
1.0,0.9333333333333333,0.6909045781718901,0.0,gamma,0,celseq2
1.0,0.9166666666666666,0.5919319895790484,0.0,gamma,0,celseq2
1.0,0.9130434782608695,0.47069247952345494,0.0,gamma,0,celseq2
1.0,0.8636363636363636,0.717364769754941,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.784028659352561,0.0,gamma,0,celseq2
1.0,0.9259259259259259,0.5695372535134262,0.0,gamma,0,celseq2
1.0,0.92,0.5561288698891081,0.0,gamma,0,celseq2
1.0,0.9,0.7118092431271881,0.0,gamma,0,celseq2
0.75,0.8571428571428571,0.7523922887735248,0.1880980721933812,gamma,0,celseq2
1.0,0.8518518518518519,0.7479665432606609,0.0,gamma,0,celseq2
1.0,0.9310344827586207,0.5756029624384055,0.0,gamma,0,celseq2
1.0,0.9130434782608695,0.6112004054520808,0.0,gamma,0,celseq2
1.0,0.8518518518518519,0.7395800724467888,0.0,gamma,0,celseq2
1.0,0.8571428571428571,0.7241303347930302,0.0,gamma,0,celseq2
1.0,0.9,0.6347877885331348,0.0,gamma,0,celseq2
1.0,0.9230769230769231,0.5619634225293197,0.0,gamma,0,celseq2
1.0,0.9230769230769231,0.5715286203000276,0.0,gamma,0,celseq2
1.0,0.9333333333333333,0.5815932392254061,0.0,gamma,0,celseq2
1.0,0.92,0.5734634390181672,0.0,gamma,0,celseq2
1.0,0.9310344827586207,0.487498051712497,0.0,gamma,0,celseq2
1.0,0.875,0.6973296051181382,0.0,gamma,0,celseq2
0.8888888888888888,0.7,0.9112463312314392,0.10124959235904885,gamma,0,celseq2
1.0,0.9259259259259259,0.5462477805143479,0.0,gamma,0,celseq2
1.0,0.875,0.6801205247966231,0.0,gamma,0,celseq2
1.0,0.9166666666666666,0.5971082380017599,0.0,gamma,0,celseq2
1.0,0.7,0.7347283245421742,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.6180374105913942,0.0,gamma,0,celseq2
1.0,0.8275862068965517,0.7461603375527426,0.0,gamma,0,celseq2
1.0,0.9,0.5957520563328456,0.0,gamma,0,celseq2
0.6666666666666666,0.88,0.6196592883413434,0.20655309611378117,gamma,0,celseq2
1.0,0.8518518518518519,0.7371664523116497,0.0,gamma,0,celseq2
1.0,0.8461538461538461,0.7174543302316944,0.0,gamma,0,celseq2
1.0,0.92,0.54856864654333,0.0,gamma,0,celseq2
1.0,0.8888888888888888,0.5845056209613172,0.0,gamma,0,celseq2
1.0,0.8846153846153846,0.65935554641437,0.0,gamma,0,celseq2
1.0,0.92,0.5548826601544398,0.0,gamma,0,celseq2
1.0,0.9333333333333333,0.5300170963313182,0.0,gamma,0,celseq2
1.0,0.9130434782608695,0.6142057495743274,0.0,gamma,0,celseq2
1.0,0.92,0.5290071457457906,0.0,gamma,0,celseq2
1.0,0.8461538461538461,0.7298258257007326,0.0,gamma,0,celseq2
1.0,0.9,0.6148222589026758,0.0,gamma,0,celseq2
1.0,0.6666666666666666,0.9210482047116447,0.0,gamma,0,celseq2
1.0,0.9259259259259259,0.5499160804447476,0.0,gamma,0,celseq2
1.0,0.8666666666666667,0.7083389482198119,0.0,gamma,0,celseq2
1.0,0.8846153846153846,0.6766907056706014,0.0,gamma,0,celseq2
1.0,0.8571428571428571,0.6809876646064286,0.0,gamma,0,celseq2
0.7777777777777778,0.7,0.7400080187868721,0.16444622639708267,gamma,0,celseq2
1.0,0.875,0.6269867933010151,0.0,gamma,0,celseq2
1.0,0.875,0.7640787507354894,0.0,gamma,0,celseq2
1.0,0.8214285714285714,0.7818973282860103,0.0,gamma,0,celseq2
1.0,0.9259259259259259,0.55934676393351,0.0,gamma,0,celseq2
1.0,0.8,0.8240851727076597,0.0,gamma,0,celseq2
1.0,0.92,0.5408701251590305,0.0,gamma,0,celseq2
1.0,0.9333333333333333,0.5091318361459836,0.0,gamma,0,celseq2
1.0,0.8928571428571429,0.6060501920516812,0.0,gamma,0,celseq2
1.0,0.8666666666666667,0.6965999996528663,0.0,gamma,0,celseq2
1.0,0.9,0.5701659472322168,0.0,gamma,0,celseq2
1.0,0.9130434782608695,0.6393926549995054,0.0,gamma,0,celseq2
1.0,0.8666666666666667,0.7187590666965201,0.0,gamma,0,celseq2
0.75,0.8518518518518519,0.6382290630689738,0.15955726576724344,gamma,0,celseq2
1.0,0.9,0.5348531885091825,0.0,gamma,0,celseq2
1.0,0.9047619047619048,0.6483732797359008,0.0,gamma,0,celseq2
0.75,0.8666666666666667,0.5598037306451304,0.1399509326612826,gamma,0,celseq2
1.0,0.8620689655172413,0.7182729407599102,0.0,gamma,0,celseq2
1.0,0.8148148148148148,0.863576483085046,0.0,gamma,0,celseq2
1.0,0.92,0.7504776385193362,0.0,gamma,0,celseq2
1.0,0.9285714285714286,0.4916352597514176,0.0,gamma,0,celseq2
1.0,0.8846153846153846,0.6247288278859389,0.0,gamma,0,celseq2
1.0,0.8666666666666667,0.6541509024606568,0.0,gamma,0,celseq2
1.0,0.9166666666666666,0.538405545806886,0.0,gamma,0,celseq2
1.0,0.92,0.5739484541271586,0.0,gamma,0,celseq2
1.0,0.9333333333333333,0.5076198609035542,0.0,gamma,0,celseq2
1.0,0.8846153846153846,0.6224889828463916,0.0,gamma,0,celseq2
0.8333333333333334,0.7857142857142857,0.8472851546567108,0.1412141924427851,gamma,0,celseq2
1.0,0.9310344827586207,0.5166427665161842,0.0,gamma,0,celseq2
1.0,0.8888888888888888,0.5862683655386559,0.0,gamma,0,celseq2
1.0,0.8846153846153846,0.6298214865303473,0.0,gamma,0,celseq2
1.0,0.9,0.47607430048234217,0.0,gamma,0,celseq2
1.0,0.8846153846153846,0.677964686095736,0.0,gamma,0,celseq2
0.75,0.8666666666666667,0.6468937962013167,0.16172344905032918,gamma,0,celseq2
1.0,0.9,0.6530751353387243,0.0,gamma,0,celseq2
1.0,0.9333333333333333,0.5149256700112992,0.0,gamma,0,celseq2
1.0,0.9,0.6558056884788084,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.7385579721841822,0.0,gamma,0,celseq2
1.0,0.9,0.4866263991654908,0.0,gamma,0,celseq2
1.0,0.8666666666666667,0.7808173261337819,0.0,gamma,0,celseq2
0.8571428571428571,0.7666666666666667,0.7631396154106505,0.10901994505866439,gamma,0,celseq2
0.75,0.8666666666666667,0.6144947036086277,0.15362367590215692,gamma,0,celseq2
1.0,0.8666666666666667,0.6406113717506122,0.0,gamma,0,celseq2
0.6666666666666666,0.8846153846153846,0.6219042015319007,0.2073014005106336,gamma,0,celseq2
0.75,0.8461538461538461,0.6899300352167068,0.1724825088041767,gamma,0,celseq2
1.0,0.9,0.6642346484490937,0.0,gamma,0,celseq2
1.0,0.9166666666666666,0.5482814976039101,0.0,gamma,0,celseq2
1.0,0.8666666666666667,0.6234378379128938,0.0,gamma,0,celseq2
0.75,0.8666666666666667,0.5593341976960741,0.13983354942401852,gamma,0,celseq2
1.0,0.9333333333333333,0.5997838051747211,0.0,gamma,0,celseq2
1.0,0.9333333333333333,0.5310936965739647,0.0,gamma,0,celseq2
1.0,0.9166666666666666,0.6094307182021255,0.0,gamma,0,celseq2
1.0,0.9,0.5934173743853565,0.0,gamma,0,celseq2
1.0,0.8148148148148148,0.7989131246018811,0.0,gamma,0,celseq2
1.0,0.9333333333333333,0.5744144463131805,0.0,gamma,0,celseq2
1.0,0.9166666666666666,0.5319779153584068,0.0,gamma,0,celseq2
1.0,0.9,0.4301971545456281,0.0,gamma,0,celseq2
1.0,0.8888888888888888,0.7137032042169793,0.0,gamma,0,celseq2
0.9,0.6666666666666666,0.7260424162583508,0.07260424162583506,gamma,0,celseq2
0.75,0.8571428571428571,0.7167491629740327,0.17918729074350817,gamma,0,celseq2
1.0,0.9230769230769231,0.4772505975037621,0.0,gamma,0,celseq2
1.0,0.9,0.5236458750978483,0.0,gamma,0,celseq2
1.0,0.92,0.5914655114059433,0.0,gamma,0,celseq2
1.0,0.9230769230769231,0.5476030943491852,0.0,gamma,0,fluidigmc1
1.0,0.92,0.5519107450008418,0.0,gamma,0,fluidigmc1
1.0,0.8888888888888888,0.626304536862988,0.0,gamma,0,fluidigmc1
1.0,0.9230769230769231,0.5319895443350395,0.0,gamma,0,fluidigmc1
1.0,0.9230769230769231,0.5220912024188271,0.0,gamma,0,fluidigmc1
1.0,0.8571428571428571,0.7161954154061376,0.0,gamma,0,fluidigmc1
1.0,0.9,0.5801812384686547,0.0,gamma,0,fluidigmc1
1.0,0.9333333333333333,0.45294641818841375,0.0,gamma,0,fluidigmc1
1.0,0.8888888888888888,0.6408940773795576,0.0,gamma,0,fluidigmc1
1.0,0.8,0.7401462473986673,0.0,gamma,0,fluidigmc1
1.0,0.9230769230769231,0.5289192167971021,0.0,gamma,0,fluidigmc1
1.0,0.9230769230769231,0.5467964599312328,0.0,gamma,0,fluidigmc1
1.0,0.9230769230769231,0.5449174603009301,0.0,gamma,0,fluidigmc1
1.0,0.8888888888888888,0.6440096017162287,0.0,gamma,0,fluidigmc1
1.0,0.9230769230769231,0.4715376457744291,0.0,gamma,0,fluidigmc1
1.0,0.8888888888888888,0.63016688449302,0.0,gamma,0,fluidigmc1
0.8,0.8275862068965517,0.7570752603068314,0.15141505206136624,gamma,0,fluidigmc1
1.0,0.9,0.5372240764943669,0.0,gamma,0,fluidigmc1
1.0,0.9333333333333333,0.6675914306591894,0.0,gamma,0,smartseq2
0.8,0.8333333333333334,0.629697906957773,0.12593958139155456,gamma,0,smartseq2
1.0,0.9310344827586207,0.5546157838190601,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.6511025137681876,0.0,gamma,0,smartseq2
1.0,0.9,0.528872145476762,0.0,gamma,0,smartseq2
1.0,0.92,0.5128670981537697,0.0,gamma,0,smartseq2
0.8,0.8333333333333334,0.7649385313123214,0.15298770626246425,gamma,0,smartseq2
0.75,0.8571428571428571,0.7223746717417604,0.1805936679354401,gamma,0,smartseq2
1.0,0.9166666666666666,0.526370422826119,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.46614922927655617,0.0,gamma,0,smartseq2
1.0,0.9,0.5535920867417516,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.48529264232912783,0.0,gamma,0,smartseq2
1.0,0.9310344827586207,0.5649861927598339,0.0,gamma,0,smartseq2
1.0,0.9333333333333333,0.46950858027551995,0.0,gamma,0,smartseq2
0.8,0.8333333333333334,0.7540697079044063,0.15081394158088124,gamma,0,smartseq2
1.0,0.9230769230769231,0.49869373614719853,0.0,gamma,0,smartseq2
0.8,0.8333333333333334,0.5179417405627383,0.10358834811254765,gamma,0,smartseq2
1.0,0.9,0.6718813080689476,0.0,gamma,0,smartseq2
0.75,0.8518518518518519,0.7448434514108379,0.18621086285270946,gamma,0,smartseq2
0.6666666666666666,0.8846153846153846,0.6599086691417294,0.2199695563805765,gamma,0,smartseq2
