NPS,CBR,NeighborDispersion,Disruption,celltype,is_rare,batch
1.0,0.7,0.07938261253441975,0.0,gamma,0,celseq2
1.0,0.6333333333333333,0.07060436061297987,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.08296123363826909,0.0,gamma,0,celseq2
1.0,0.5333333333333333,0.11023882258279263,0.0,gamma,0,celseq2
1.0,0.6333333333333333,0.09752869444676851,0.0,gamma,0,celseq2
1.0,0.7333333333333333,0.08714654789512384,0.0,gamma,0,celseq2
1.0,0.5666666666666667,0.0988796578437825,0.0,gamma,0,celseq2
1.0,0.7,0.12313087344113693,0.0,gamma,0,celseq2
1.0,0.6666666666666666,0.09491450061514375,0.0,gamma,0,celseq2
1.0,0.5666666666666667,0.06402666989776856,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.09041934769039828,0.0,gamma,0,celseq2
1.0,0.6333333333333333,0.10567740352670553,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.06307657546529666,0.0,gamma,0,celseq2
1.0,0.6333333333333333,0.0808950814440609,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.06963068919471621,0.0,gamma,0,celseq2
1.0,0.8666666666666667,0.06487791108409353,0.0,gamma,0,celseq2
1.0,0.7333333333333333,0.06281606084413702,0.0,gamma,0,celseq2
1.0,0.8,0.09805032719385533,0.0,gamma,0,celseq2
1.0,0.6666666666666666,0.05893690254623808,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.10000060805549237,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.08508625383268109,0.0,gamma,0,celseq2
1.0,0.7,0.1247449862479199,0.0,gamma,0,celseq2
1.0,0.7333333333333333,0.09082308616745798,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.061134382149937265,0.0,gamma,0,celseq2
1.0,0.6333333333333333,0.0862793927357523,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.07852758534628368,0.0,gamma,0,celseq2
1.0,0.8,0.07688711972191262,0.0,gamma,0,celseq2
1.0,0.7,0.05517476965215775,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.09771771146620246,0.0,gamma,0,celseq2
1.0,0.7,0.07276942015219294,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.10262142832207398,0.0,gamma,0,celseq2
1.0,0.7333333333333333,0.08077989000134476,0.0,gamma,0,celseq2
1.0,0.7,0.08747639864384027,0.0,gamma,0,celseq2
1.0,0.6333333333333333,0.06911911628361443,0.0,gamma,0,celseq2
1.0,0.8,0.06541273960792555,0.0,gamma,0,celseq2
1.0,0.8,0.08471024578257233,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.07790573441332224,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.10745101748147041,0.0,gamma,0,celseq2
1.0,0.7333333333333333,0.0879860137115662,0.0,gamma,0,celseq2
1.0,0.9,0.0829548667666976,0.0,gamma,0,celseq2
1.0,0.7333333333333333,0.07313783991027377,0.0,gamma,0,celseq2
1.0,0.8,0.09990096634294664,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.06493968766782167,0.0,gamma,0,celseq2
1.0,0.9,0.0679611729481302,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.08258754298605453,0.0,gamma,0,celseq2
1.0,0.8,0.061557497266440435,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.08405822562137924,0.0,gamma,0,celseq2
1.0,0.7,0.09319707511729873,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.09913644532038342,0.0,gamma,0,celseq2
1.0,0.7,0.05778331975677102,0.0,gamma,0,celseq2
1.0,0.7,0.12122996710849192,0.0,gamma,0,celseq2
1.0,0.7666666666666667,0.0760589050568144,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.06943781779293236,0.0,gamma,0,celseq2
1.0,0.7,0.09100883111940308,0.0,gamma,0,celseq2
1.0,0.8666666666666667,0.07008797038935333,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.08832906951059348,0.0,gamma,0,celseq2
1.0,0.8666666666666667,0.11695257705257622,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.12019378351989357,0.0,gamma,0,celseq2
1.0,0.7,0.0709435262111062,0.0,gamma,0,celseq2
1.0,0.8,0.07956615652659432,0.0,gamma,0,celseq2
1.0,0.9333333333333333,0.1282449914438319,0.0,gamma,0,celseq2
1.0,0.7,0.09091800523189733,0.0,gamma,0,celseq2
1.0,0.8333333333333334,0.08938489864194302,0.0,gamma,0,celseq2
0.0,1.0,0.05855297699100628,0.05855297699100628,gamma,0,fluidigmc1
0.0,1.0,0.09475278672839982,0.09475278672839982,gamma,0,fluidigmc1
1.0,0.9666666666666667,0.10637647749890723,0.0,gamma,0,fluidigmc1
1.0,0.8,0.14835484974689397,0.0,gamma,0,fluidigmc1
0.0,1.0,0.07488286435314237,0.07488286435314237,gamma,0,fluidigmc1
1.0,0.7333333333333333,0.1629687616115031,0.0,gamma,0,fluidigmc1
1.0,0.9666666666666667,0.06723210833391369,0.0,gamma,0,fluidigmc1
1.0,0.9333333333333333,0.07245890586991982,0.0,gamma,0,fluidigmc1
