pre_cnem,post_cnem,cnem_delta,lntec,dcr,celltype,is_rare
0.34823012351989746,0.3413280248641968,-0.006902098655700684,1.0809388709539047,-0.010478810267094827,gamma,0
0.23094749450683594,0.2366253137588501,0.00567781925201416,1.1524233608375918,0.007437788224248948,gamma,0
0.3264464735984802,0.3290533423423767,0.0026068687438964844,1.360161725398441,0.003885359162526361,gamma,0
0.30244171619415283,0.3214048147201538,0.018963098526000977,1.0570792831668172,0.027944640541740322,gamma,0
0.361438512802124,0.37834692001342773,0.01690840721130371,1.0492294068683965,0.02719910470268873,gamma,0
0.34035271406173706,0.34144121408462524,0.0010885000228881836,0.4815272501792135,0.0016528517213162753,gamma,0
0.2289469838142395,0.22240310907363892,-0.006543874740600586,0.44967512492016726,-0.008415510423150979,gamma,0
0.29974299669265747,0.29701489210128784,-0.002728104591369629,0.4861810233827833,-0.003880743077935445,gamma,0
0.2967337965965271,0.2942655682563782,-0.0024682283401489258,0.979821454484343,-0.003497389710816292,gamma,0
0.20394670963287354,0.18975478410720825,-0.014191925525665283,0.8286815906368566,-0.017515593115878515,gamma,0
0.20541179180145264,0.21168315410614014,0.0062713623046875,0.6828689976258873,0.007955382835408652,gamma,0
0.31617921590805054,0.3087487816810608,-0.007430434226989746,0.26355450068499614,-0.010749252992363461,gamma,0
0.2890147566795349,0.3053261637687683,0.0163114070892334,1.0705121091535121,0.023480669975605536,gamma,0
0.22757047414779663,0.22228080034255981,-0.005289673805236816,0.48927179996148656,-0.006801521432885731,gamma,0
0.2816120982170105,0.28280001878738403,0.0011879205703735352,0.45389691518330205,0.0016563310115611572,gamma,0
0.25052767992019653,0.24522089958190918,-0.0053067803382873535,0.3436329916903008,-0.007030905248102123,gamma,0
0.19653135538101196,0.20158660411834717,0.005055248737335205,0.30420536365095996,0.0063316181359318454,gamma,0
0.30919045209884644,0.2884441018104553,-0.020746350288391113,0.3838678434069436,-0.029156318345722836,gamma,0
0.11438220739364624,0.15527361631393433,0.040891408920288086,7.814430499895005,0.04840787467990935,gamma,0
0.25562024116516113,0.2768070101737976,0.021186769008636475,2.430247860609451,0.0292961482020561,gamma,0
0.1471635103225708,0.18635505437850952,0.03919154405593872,5.601392262764678,0.04816787010948965,gamma,0
0.10300451517105103,0.15450245141983032,0.0514979362487793,2.9371686072291254,0.06090843945704981,gamma,0
0.18261802196502686,0.2081853747367859,0.025567352771759033,6.390218879104765,0.032289568739981234,gamma,0
0.12848824262619019,0.15391933917999268,0.02543109655380249,7.844202364904423,0.030057532019648215,gamma,0
0.2275007963180542,0.24263709783554077,0.015136301517486572,2.2627109097698894,0.019985533321250224,gamma,0
0.18313080072402954,0.2159157395362854,0.03278493881225586,7.5957968923648265,0.04181303013641231,gamma,0
0.21652096509933472,0.23797059059143066,0.021449625492095947,3.2519905523940245,0.028148028445179767,gamma,0
0.17091649770736694,0.193215012550354,0.02229851484298706,5.4132349069567685,0.02763873298321479,gamma,0
0.14903384447097778,0.17385578155517578,0.024821937084197998,6.823066730774332,0.030045525381662868,gamma,0
0.20093441009521484,0.23032116889953613,0.02938675880432129,6.088871470706975,0.03818054702414639,gamma,0
0.10218542814254761,0.13685035705566406,0.034664928913116455,6.454195718906456,0.04016097231398841,gamma,0
0.16404736042022705,0.18476194143295288,0.02071458101272583,5.880414743094581,0.02540924187118555,gamma,0
0.1966562271118164,0.22632306814193726,0.02966684103012085,6.518107034916957,0.038345257314151726,gamma,0
0.26333141326904297,0.28560370206832886,0.02227228879928589,4.571710084087462,0.031176377682483644,gamma,0
0.2019503116607666,0.23653006553649902,0.03457975387573242,2.6126902675334396,0.0452928822927808,gamma,0
0.18213391304016113,0.20842880010604858,0.02629488706588745,13.21826651009752,0.03321860000643055,gamma,0
0.24583452939987183,0.2669150233268738,0.021080493927001953,3.3478797127587185,0.02875586677914079,gamma,0
0.17599564790725708,0.21116286516189575,0.03516721725463867,8.17171662196188,0.044581087402605815,gamma,0
0.1776842474937439,0.197321355342865,0.019637107849121094,5.4738955614720775,0.02446447028313442,gamma,0
0.15444916486740112,0.18762344121932983,0.03317427635192871,9.255132455756744,0.040836082717257825,gamma,0
0.20122939348220825,0.21453386545181274,0.013304471969604492,6.181632779078317,0.016938313931583363,gamma,0
0.16855305433273315,0.2053666114807129,0.036813557147979736,13.182664282532087,0.04632772506146236,gamma,0
0.16499727964401245,0.19732695817947388,0.032329678535461426,9.227289704266388,0.040277518804088835,gamma,0
0.20604336261749268,0.23361313343048096,0.02756977081298828,5.005040158156617,0.035973699466426624,gamma,0
0.1930331587791443,0.20341616868972778,0.010383009910583496,1.5301236083100271,0.013034422119144516,gamma,0
0.2081674337387085,0.22832655906677246,0.020159125328063965,2.0824043973244764,0.026123907159075498,gamma,0
0.2068943977355957,0.2365121841430664,0.029617786407470703,3.1612891068015343,0.03879274271617275,gamma,0
0.16696912050247192,0.19778740406036377,0.030818283557891846,7.634060700005034,0.03841660392005465,gamma,0
0.19521141052246094,0.22110414505004883,0.02589273452758789,7.304700100273824,0.0332428711271697,gamma,0
0.1660085916519165,0.2010539174079895,0.035045325756073,8.729666254261176,0.043864444071589785,gamma,0
0.11906981468200684,0.1450243592262268,0.02595454454421997,16.269790057342743,0.030357057331750988,gamma,0
0.17630010843276978,0.21731233596801758,0.0410122275352478,8.051152149484988,0.05239922566809734,gamma,0
0.13258254528045654,0.1567314863204956,0.024148941040039062,11.372039456612399,0.028637309051974393,gamma,0
0.25338298082351685,0.2977202534675598,0.04433727264404297,6.516301437239395,0.06313334944224383,gamma,0
0.20981991291046143,0.24405187368392944,0.03423196077346802,3.749597443056805,0.045283478563918345,gamma,0
0.24903327226638794,0.2720099687576294,0.022976696491241455,1.333971300592893,0.0315618284662909,gamma,0
0.19861966371536255,0.22989493608474731,0.031275272369384766,8.265806575834533,0.04061169551382991,gamma,0
0.2077510952949524,0.2416173219680786,0.03386622667312622,3.143454283336404,0.04465585469464104,gamma,0
0.20325392484664917,0.23066294193267822,0.027409017086029053,5.5282372701914255,0.035626799461453466,gamma,0
0.2546478509902954,0.2672940492630005,0.012646198272705078,3.4159797827352074,0.017259581773540634,gamma,0
0.20026391744613647,0.2320687174797058,0.031804800033569336,5.064985649419691,0.04141620579537835,gamma,0
0.2489883303642273,0.273830771446228,0.024842441082000732,3.8094913076493215,0.03421026408882207,gamma,0
0.2480434775352478,0.2695883512496948,0.02154487371444702,4.848632475116368,0.02949689226795484,gamma,0
0.17009317874908447,0.19645684957504272,0.026363670825958252,5.172386053046702,0.03280927827213226,gamma,0
0.18816566467285156,0.21305227279663086,0.024886608123779297,4.593425797821693,0.031624220089205374,gamma,0
0.14598923921585083,0.15596246719360352,0.009973227977752686,1.1726576780419695,0.011816095363190825,gamma,0
0.2242632508277893,0.2552018165588379,0.030938565731048584,2.8644942110417935,0.04153952898771091,gamma,0
0.20309656858444214,0.2296416163444519,0.026545047760009766,3.7115893405680054,0.034458050075403486,gamma,0
0.15293395519256592,0.18186086416244507,0.02892690896987915,6.172045878756729,0.03535695544042855,gamma,0
0.18423980474472046,0.20920485258102417,0.02496504783630371,3.665444950418945,0.03156955112557972,gamma,0
0.20736956596374512,0.2334202527999878,0.026050686836242676,5.347665562214898,0.03398300950604903,gamma,0
0.2369258999824524,0.27419447898864746,0.03726857900619507,7.417754319477871,0.051347885800405946,gamma,0
0.23568475246429443,0.25774556398391724,0.022060811519622803,2.3310998932829894,0.029721360289916544,gamma,0
0.20244163274765015,0.23021602630615234,0.027774393558502197,3.3022595999440196,0.03608076357477976,gamma,0
