pre_cnem,post_cnem,cnem_delta,lntec,dcr,celltype,is_rare
0.34823012351989746,0.3508371114730835,0.002606987953186035,1.485341039565737,0.004015922658644003,gamma,0
0.23094749450683594,0.2589016556739807,0.027954161167144775,1.354787431169207,0.0377199077304204,gamma,0
0.3264464735984802,0.34186726808547974,0.015420794486999512,1.866581766205932,0.02343113134965972,gamma,0
0.30244171619415283,0.322826087474823,0.020384371280670166,2.125311069049916,0.030102121336389027,gamma,0
0.361438512802124,0.3523540496826172,-0.009084463119506836,1.1032817464363487,-0.014026897126516332,gamma,0
0.34035271406173706,0.3504791855812073,0.010126471519470215,1.5949461552949704,0.015590680536591628,gamma,0
0.2289469838142395,0.23126715421676636,0.0023201704025268555,1.2996684788871946,0.0030181751895392464,gamma,0
0.29974299669265747,0.30392104387283325,0.004178047180175781,1.2991016047726514,0.006002260438128362,gamma,0
0.2967337965965271,0.29640477895736694,-0.00032901763916015625,1.402329705688049,-0.0004676234705980472,gamma,0
0.20394670963287354,0.19793236255645752,-0.006014347076416016,2.8215230272521072,-0.007498553483077498,gamma,0
0.20541179180145264,0.2101120948791504,0.004700303077697754,2.525363337079111,0.005950595074599385,gamma,0
0.31617921590805054,0.3217954635620117,0.005616247653961182,0.9543601214495316,0.008281052915774332,gamma,0
0.2890147566795349,0.3095129728317261,0.020498216152191162,1.134935941090895,0.029686605751675737,gamma,0
0.22757047414779663,0.219770610332489,-0.007799863815307617,1.5242179668947315,-0.009996885427029955,gamma,0
0.2816120982170105,0.2894572615623474,0.007845163345336914,2.2324586328521394,0.011041085807993655,gamma,0
0.25052767992019653,0.25989580154418945,0.00936812162399292,1.5935994036200483,0.012657841481698151,gamma,0
0.19653135538101196,0.1979198455810547,0.0013884902000427246,1.3831530633663685,0.0017311115259404405,gamma,0
0.30919045209884644,0.31123989820480347,0.0020494461059570312,1.5550218338786406,0.002975558689615323,gamma,0
0.11438220739364624,0.12077057361602783,0.006388366222381592,4.893601001201779,0.007265869442808776,gamma,0
0.25562024116516113,0.2770296335220337,0.02140939235687256,4.552762658979483,0.029613098059842878,gamma,0
