celltype,post_cnem,cnem_delta,method
gamma,0.1777557134628296,0.0057024359703063965,Harmony
gamma,0.18858224153518677,0.020064949989318848,Harmony
gamma,0.1962166428565979,0.006257474422454834,Harmony
gamma,0.185977041721344,0.009245336055755615,Harmony
gamma,0.2209795117378235,0.009408175945281982,Harmony
gamma,0.17997640371322632,0.01767665147781372,Harmony
gamma,0.20523405075073242,0.013288021087646484,Harmony
gamma,0.19077926874160767,-0.00202178955078125,Harmony
gamma,0.14153599739074707,0.009226560592651367,Harmony
gamma,0.15043771266937256,0.013841748237609863,Harmony
gamma,0.1720590591430664,-0.0010077357292175293,Harmony
gamma,0.1626710295677185,-0.00010722875595092773,Harmony
gamma,0.19849121570587158,0.0052030086517333984,Harmony
gamma,0.16158390045166016,0.008604884147644043,Harmony
gamma,0.1842871904373169,0.014493584632873535,Harmony
gamma,0.20949119329452515,0.002577543258666992,Harmony
gamma,0.16426044702529907,0.003695070743560791,Harmony
gamma,0.2028483748435974,0.016810119152069092,Harmony
gamma,0.20877474546432495,0.00906747579574585,Harmony
gamma,0.18556547164916992,0.003817617893218994,Harmony
gamma,0.158771812915802,0.00500941276550293,Harmony
gamma,0.13240933418273926,0.0005037188529968262,Harmony
gamma,0.19441473484039307,0.006570935249328613,Harmony
gamma,0.18355315923690796,0.008609354496002197,Harmony
gamma,0.15608012676239014,0.00337141752243042,Harmony
gamma,0.13534605503082275,0.001175522804260254,Harmony
gamma,0.1876356601715088,0.003955185413360596,Harmony
gamma,0.17991596460342407,0.006507515907287598,Harmony
gamma,0.2585192322731018,0.012203514575958252,Harmony
gamma,0.15009218454360962,0.0029206275939941406,Harmony
gamma,0.3757174015045166,0.005980491638183594,Harmony
gamma,0.18696808815002441,0.020666837692260742,Harmony
gamma,0.1759459376335144,0.003107130527496338,Harmony
gamma,0.18361246585845947,0.009118139743804932,Harmony
gamma,0.15080219507217407,0.002951681613922119,Harmony
gamma,0.17425662279129028,0.005895674228668213,Harmony
