post_cnem,pre_cnem,celltype,is_rare,batch
0.25059497,0.21782184,Macrophage,0,D38
0.27008927,0.2042517,Macrophage,0,D38
0.3016547,0.1984691,Macrophage,0,D38
0.25064862,0.20483017,Macrophage,0,D38
0.20595163,0.19759381,Macrophage,0,D38
0.18840516,0.18116039,Macrophage,0,D38
0.20923328,0.21008348,Macrophage,0,D38
0.30000478,0.30163944,Macrophage,0,D38
0.3121478,0.22900873,Macrophage,0,D38
0.22390169,0.22333837,Macrophage,0,D38
0.21444786,0.20942092,Macrophage,0,D38
0.3394357,0.22071964,Macrophage,0,D38
0.24887437,0.19652653,Macrophage,0,D38
0.21125269,0.20776045,Macrophage,0,D38
0.22770596,0.19412279,Macrophage,0,D38
0.39424694,0.20574182,Macrophage,0,D38
0.18050778,0.16916275,Macrophage,0,D38
0.18506444,0.18771327,Macrophage,0,D38
0.24286473,0.23819089,Macrophage,0,D38
0.18073732,0.17362368,Macrophage,0,D38
0.31639922,0.31561697,T cell,0,D38
0.2666871,0.1926822,Macrophage,0,D38
0.24168819,0.2263962,Macrophage,0,D38
0.22931975,0.22931975,Mast,1,D38
0.28404474,0.22717309,Macrophage,0,D38
0.2648722,0.21026921,Macrophage,0,D38
0.18916845,0.18944597,Macrophage,0,D38
0.30554187,0.2997313,Mast,1,D38
0.18372071,0.18360734,Macrophage,0,D38
0.2382499,0.1992287,Macrophage,0,D38
0.2918607,0.2499088,Macrophage,0,D38
0.25931317,0.2603103,Macrophage,0,D38
0.23922324,0.24192286,Macrophage,0,D38
0.18785524,0.18950087,Macrophage,0,D38
0.1638875,0.16107762,Dendritic cell,0,D38
0.23197198,0.18945271,Macrophage,0,D38
0.21209085,0.21760982,Macrophage,0,D38
0.2490238,0.24339092,Macrophage,0,D38
0.34252048,0.27277482,Macrophage,0,D38
0.28710043,0.2361036,Macrophage,0,D38
0.34056985,0.2625563,Macrophage,0,D38
0.3237993,0.3256706,T cell,0,D38
0.2109794,0.20117754,Macrophage,0,D38
0.21005195,0.18958509,Macrophage,0,D38
0.3086546,0.29738015,T cell,0,D38
0.23692954,0.20455122,Macrophage,0,D38
0.38978565,0.30179632,Macrophage,0,D38
0.27775955,0.20728308,Macrophage,0,D38
0.25073022,0.20445609,Macrophage,0,D38
0.21869874,0.22105813,Macrophage,0,D38
0.17598176,0.1756106,Macrophage,0,D38
0.2811327,0.23813796,Macrophage,0,D38
0.20571291,0.20449495,Macrophage,0,D38
0.17796493,0.17952877,Macrophage,0,D38
0.21766323,0.21866894,Macrophage,0,D38
0.24522161,0.24149168,Macrophage,0,D38
0.2754724,0.23300052,Macrophage,0,D38
0.26359838,0.254812,pDC,1,D38
0.30408263,0.25528556,Macrophage,0,D38
0.24549818,0.19568384,Dendritic cell,0,D38
0.22354889,0.21440291,Macrophage,0,D38
0.28411984,0.21930027,Macrophage,0,D38
0.23686111,0.23594993,Macrophage,0,D38
0.2933737,0.21818376,Macrophage,0,D38
0.3454283,0.21280098,Macrophage,0,D38
0.160115,0.15930665,Macrophage,0,D38
0.3565107,0.23591763,Macrophage,0,D38
0.207201,0.207201,Mast,1,D38
0.3334496,0.27877378,Macrophage,0,D38
0.30423903,0.30682284,Macrophage,0,D38
0.23688805,0.23200423,Macrophage,0,D38
0.3280707,0.32886076,T cell,0,D38
0.23255384,0.21970922,Macrophage,0,D38
0.23225379,0.18690115,Dendritic cell,0,D38
0.19340599,0.1868465,Macrophage,0,D38
0.17594683,0.16597915,Dendritic cell,0,D38
0.28460276,0.20713037,Macrophage,0,D38
0.23881781,0.22980255,Dendritic cell,0,D38
0.2061708,0.20478874,Macrophage,0,D38
0.21304595,0.19628191,Macrophage,0,D38
0.27427942,0.2020067,Macrophage,0,D38
0.26882792,0.20611405,Macrophage,0,D38
0.2144233,0.21442336,Mast,1,D38
0.24987882,0.23834515,Dendritic cell,0,D38
0.23735976,0.24151838,Macrophage,0,D38
0.29215193,0.21124136,Macrophage,0,D38
0.20606238,0.2016601,Macrophage,0,D38
0.23786527,0.2272191,Macrophage,0,D38
0.20962405,0.2086643,Macrophage,0,D38
0.35465932,0.21753156,Macrophage,0,D38
0.267286,0.26278037,Macrophage,0,D38
0.28616095,0.21231735,Macrophage,0,D38
0.2755131,0.20927966,Macrophage,0,D38
0.2968167,0.23054415,Macrophage,0,D38
0.22416961,0.25113088,Dendritic cell,0,D38
0.18413925,0.16640836,Macrophage,0,D38
0.2039454,0.20459074,Macrophage,0,D38
0.21914226,0.20125622,Macrophage,0,D38
0.2802689,0.27825642,T cell,0,D38
0.27494603,0.25424886,Macrophage,0,D38
0.2097652,0.19505012,Dendritic cell,0,D38
0.32590026,0.21135092,Macrophage,0,D38
0.23838413,0.2234819,Macrophage,0,D38
0.25929666,0.17895555,Macrophage,0,D38
0.34804183,0.28598362,Macrophage,0,D38
0.3036546,0.2526961,Macrophage,0,D38
0.24338144,0.21742797,Macrophage,0,D38
0.30062592,0.22554576,Macrophage,0,D38
0.26632404,0.2452296,Macrophage,0,D38
0.20254445,0.20108962,Macrophage,0,D38
0.3266157,0.32781684,T cell,0,D38
0.31436443,0.31231344,T cell,0,D38
0.20439762,0.1998465,Macrophage,0,D38
0.23999143,0.22014189,Macrophage,0,D38
0.18274939,0.17765188,Dendritic cell,0,D38
0.34875244,0.3603968,Plasma cell,0,D38
0.19681948,0.20313382,Macrophage,0,D38
0.23034298,0.22180736,Macrophage,0,D38
0.32244623,0.20753688,Macrophage,0,D38
0.24168575,0.24168575,Mast,1,D38
0.23463953,0.21354365,Macrophage,0,D38
0.18013108,0.16131341,Macrophage,0,D38
