post_cnem,pre_cnem,celltype,is_rare,batch
0.17056257,0.17694783,Macrophage,0,D100
0.15457451,0.15336752,Macrophage,0,D100
0.15261328,0.15600431,Dendritic cell,0,D100
0.18388093,0.18795878,Macrophage,0,D100
0.20317388,0.19856566,Dendritic cell,0,D100
0.15441477,0.15257919,Dendritic cell,0,D100
0.19901824,0.2147333,Dendritic cell,0,D100
0.13013113,0.13246989,Macrophage,0,D100
0.1301378,0.12945569,Macrophage,0,D100
0.16403723,0.15603143,Macrophage,0,D100
0.13227117,0.13343722,Macrophage,0,D100
0.16326815,0.16242409,Dendritic cell,0,D100
0.29002738,0.27386487,T cell,0,D100
0.16607046,0.16945481,Macrophage,0,D100
0.13973927,0.14658797,Macrophage,0,D100
0.14876735,0.1480422,Dendritic cell,0,D100
0.15159488,0.15970874,Dendritic cell,0,D100
0.12759191,0.12872791,Dendritic cell,0,D100
0.14324653,0.149082,Dendritic cell,0,D100
0.1355933,0.13689113,Macrophage,0,D100
0.14141464,0.14907265,Macrophage,0,D100
0.17898226,0.1929828,Macrophage,0,D100
0.17995405,0.18433487,Dendritic cell,0,D100
0.16286433,0.16461837,Dendritic cell,0,D100
0.16969872,0.17536092,Macrophage,0,D100
0.21323901,0.22266448,Macrophage,0,D100
0.18862557,0.19305241,Dendritic cell,0,D100
0.16913342,0.16267145,Macrophage,0,D100
0.1497032,0.15086007,Macrophage,0,D100
0.20933294,0.19524807,Macrophage,0,D100
0.1677481,0.17657316,Dendritic cell,0,D100
0.11917883,0.12608755,Macrophage,0,D100
0.14160043,0.14490306,Macrophage,0,D100
0.2141062,0.21769047,Dendritic cell,0,D100
0.13833153,0.14213485,Dendritic cell,0,D100
0.123288155,0.1266681,Macrophage,0,D100
0.1436063,0.14211798,Macrophage,0,D100
0.2009325,0.18780917,Dendritic cell,0,D100
0.20766777,0.21227384,Macrophage,0,D100
0.20514405,0.20775104,Dendritic cell,0,D100
0.18541133,0.18490767,Macrophage,0,D100
0.15286386,0.14667284,Macrophage,0,D100
0.148,0.14764333,Macrophage,0,D100
0.11115086,0.11060268,Macrophage,0,D100
