post_cnem,pre_cnem,celltype,is_rare,batch
0.3869257,0.2975232,T cell,0,D5
0.22422993,0.18407738,pDC,1,D5
0.32986176,0.31136465,T cell,0,D5
0.2933638,0.27152258,NK cell,0,D5
0.32918513,0.21687639,Plasma cell,0,D5
0.446957,0.26478696,Plasma cell,0,D5
0.23487085,0.19239831,Plasma cell,0,D5
0.29846096,0.2529518,T cell,0,D5
0.33781588,0.28678453,NK cell,0,D5
0.39592683,0.33931386,T cell,0,D5
0.27799386,0.25660956,T cell,0,D5
0.23902428,0.20097256,T cell,0,D5
0.19832718,0.19555724,Dendritic cell,0,D5
0.33159006,0.32267278,B cell,0,D5
0.2533167,0.22248137,B cell,0,D5
0.1064201,0.100376785,Macrophage,0,D5
0.25865316,0.12235278,B cell,0,D5
0.18425047,0.12534416,B cell,0,D5
0.14671814,0.13930458,T cell,0,D5
0.30473733,0.25336826,T cell,0,D5
0.31873643,0.22158474,B cell,0,D5
0.3500321,0.28684163,T cell,0,D5
0.28357798,0.2097866,B cell,0,D5
0.36220574,0.29791665,B cell,0,D5
0.26875395,0.20919561,B cell,0,D5
0.34331936,0.3009488,T cell,0,D5
0.34217542,0.2720332,T cell,0,D5
0.31245172,0.26932156,T cell,0,D5
0.28587508,0.20403731,B cell,0,D5
0.19508368,0.1561752,pDC,1,D5
0.32339686,0.20975876,B cell,0,D5
0.25172186,0.22144961,B cell,0,D5
0.32576227,0.31748885,T cell,0,D5
0.1914075,0.15042597,pDC,1,D5
0.30740714,0.25177258,T cell,0,D5
0.28053284,0.24620545,B cell,0,D5
0.23366797,0.17844075,B cell,0,D5
0.3317873,0.29656732,T cell,0,D5
0.30498946,0.30337077,NK cell,0,D5
0.29555166,0.23187065,B cell,0,D5
0.30015957,0.2955048,T cell,0,D5
0.24533463,0.17327118,Dendritic cell,0,D5
0.25245643,0.1821006,Plasma cell,0,D5
0.3755182,0.31232905,T cell,0,D5
0.21905869,0.16892219,Dendritic cell,0,D5
0.35899377,0.29801393,T cell,0,D5
0.27046895,0.24926043,T cell,0,D5
0.34576344,0.31277156,T cell,0,D5
0.25250626,0.18054646,Dendritic cell,0,D5
0.30257154,0.25477213,B cell,0,D5
0.24746108,0.2234354,T cell,0,D5
0.3182428,0.2241596,Plasma cell,0,D5
0.29119492,0.28181863,T cell,0,D5
0.2527951,0.20669806,B cell,0,D5
0.22499079,0.17748046,Macrophage,0,D5
0.26390105,0.22684109,T cell,0,D5
0.28888226,0.24919534,T cell,0,D5
0.28074795,0.24896371,B cell,0,D5
0.23460591,0.20607209,B cell,0,D5
0.21776545,0.13586581,B cell,0,D5
0.31866407,0.27891076,T cell,0,D5
0.38323486,0.34497523,T cell,0,D5
0.2544685,0.17714524,pDC,1,D5
0.3090856,0.30732167,T cell,0,D5
0.37524384,0.34323657,T cell,0,D5
0.22362196,0.18628263,Plasma cell,0,D5
0.2672124,0.21260273,T cell,0,D5
0.25841475,0.25302184,Dendritic cell,0,D5
0.3473606,0.24128109,B cell,0,D5
0.3719375,0.20872098,Plasma cell,0,D5
0.2776022,0.21575409,Plasma cell,0,D5
0.34468234,0.20705724,Plasma cell,0,D5
0.14109385,0.103636265,Macrophage,0,D5
0.11425972,0.09786749,Macrophage,0,D5
