pre_cluster,size,survival_frac,n_post_clusters,purity_in_best_post,mean_RS,mean_CNEM,dominant_celltype,ct_purity
76,49,0.9591836734693877,63,0.018014564967420467,1.0615445,0.16062681,Macrophage,0.9183673469387755
73,179,0.9720670391061452,63,0.26244343891402716,2.3329535,0.17608754,Macrophage,0.8435754189944135
75,75,0.9866666666666667,63,0.9487179487179487,3.1472776,0.1975308,Macrophage,0.8
74,78,0.9871794871794872,63,0.06832298136645963,1.2037861,0.21134514,Dendritic cell,1.0
77,14,1.0,63,0.01879194630872483,1.3455808,0.18291317,B cell,1.0
